0,102748,Łomża,1,P,16822,16822
3375,99373,Konarzyce,0,,13445,13445
8847,93901,Koziki,0,,7973,7973
14971,87777,Śniadowo PODG,0,P,1849,1849
16820,85928,Śniadowo Łącznica POGP,0,P,27549,27549
42571,60177,Czachy-Kołaki,0,,53300,53300
47223,55525,Czarnowo Undy,1,P,57952,57952
53905,48843,Kulesze Kościelne,0,,62634,62634
67888,34860,Sokoły,1,P,76617,76617
79571,23177,Łapy,1,P,88300,154035
88787,13961,Baciuty PODS,0,P,97516,163251
102748,0,Białystok,1,P,111570,177305
